Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0051301~cell division	105	20.46783625730994	1.0773587498658192E-78	ERCC6L, ZWILCH, CCNF, BUB1B, SMC5, SMC3, SMC4, SMC2, CDC20, PTTG1, RCC1, KNTC1, OIP5, NEK2, FBXO5, TIPIN, BORA, LIG1, VRK1, KNL1, PIMREG, CDC25C, KNSTRN, CDC25A, CDC25B, SGO1, SGO2, CCNE2, TIMELESS, KIF20B, CDCA2, CDCA3, CDCA5, CDCA8, NCAPG, PDS5B, KLHL13, SKA3, NCAPH, SKA1, SKA2, CCNB2, DSN1, CCNB1, MCMBP, FAM83D, SAC3D1, CDT1, UBE2C, CDC7, CDC6, ZWINT, NDC80, TPX2, STAG1, KIF18B, CDK4, CDK1, GPSM2, USP37, CDCA7L, NCAPG2, KIF14, KIF11, MIS18BP1, CNTRL, NUF2, SPDL1, LRRCC1, HELLS, HAUS4, MASTL, HAUS1, CCNA2, PSRC1, KIFC1, CKS2, BIRC5, MCM5, KIF2C, ITGB3BP, MIS12, AURKB, AURKA, HAUS8, HAUS7, BUB1, CENPV, CENPW, CENPX, SPAG5, CENPE, CENPF, WEE1, MIS18A, PRC1, CENPJ, TACC3, NCAPD2, NCAPD3, SPC24, SPC25, CENPS, NUP37, MAD2L1	481	386	19256	10.889877522001875	1.7701004260295408E-75	1.7701004260295408E-75	1.6483588872947033E-75
GOTERM_BP_DIRECT	GO:0006260~DNA replication	47	9.161793372319687	2.1385387823861507E-42	PIF1, BLM, FEN1, RNASEH2A, PCNA, MCM7, DSCC1, CHTF18, POLD3, CHAF1B, ORC6, CHAF1A, ORC1, RBBP4, CHEK1, PCLAF, RBBP7, RFC5, GINS1, GINS2, RFC3, RRM1, RMI2, DUT, RFC4, RRM2, LIG1, RMI1, RFC2, GINS3, DONSON, RPA2, SSRP1, TICRR, FAM111B, POLA1, DBF4, NASP, RPA3, POLE2, CDK1, MCM4, MCM5, MCM6, DNA2, DTL, MCM2	481	121	19256	15.550110822838096	3.513619219460446E-39	1.756809609730223E-39	1.635982168525405E-39
GOTERM_BP_DIRECT	GO:0007059~chromosome segregation	43	8.382066276803119	6.624044517541516E-42	TOP2A, CDCA2, MIS12, HJURP, SMC5, TTK, BRCA1, SKA3, SKA1, SKA2, DSN1, NUF2, RCC1, OIP5, NEK2, BUB1, DLGAP5, CENPU, CENPW, CENPX, SPAG5, ESCO2, KNSTRN, NDC80, SGO1, SGO2, CENPE, STAG1, CENPF, MIS18A, CENPH, INCENP, CENPK, CENPL, CENPM, CENPN, CENPO, CENPQ, SPC24, ITGB3BP, CENPS, NUP37, SPC25	481	96	19256	17.931566181566183	1.0883305142320711E-38	3.62776838077357E-39	3.378262703946173E-39
GOTERM_BP_DIRECT	GO:0006281~DNA repair	63	12.280701754385964	7.499494017457925E-39	MDC1, FEN1, NUDT1, CGAS, TTF2, BRCA1, FOXM1, BRCA2, SMC3, PAGR1, CHAF1B, CHAF1A, PTTG1, EXO1, CHEK1, TOPBP1, RFC5, WDHD1, RMI2, RFC3, RFC4, LIG1, PARP1, PARP2, RFC2, DDX11, KIF22, DDB2, MSH6, RAD51C, EID3, MSH2, FANCD2, TIMELESS, DNA2, PIF1, BLM, PAXIP1, PARPBP, PCNA, PDS5B, UNG, RAD51AP1, BRIP1, USP1, RAD54L, CLSPN, FANCI, BARD1, POLQ, RRM1, CENPX, RPA2, SSRP1, FANCG, TICRR, POLA1, RAD51, UBE2T, POLE2, RPA3, CDK1, CENPS	481	302	19256	8.351310046674286	1.232166867068337E-35	3.080417167670843E-36	2.8685564616776563E-36
GOTERM_BP_DIRECT	GO:0007049~cell cycle	54	10.526315789473683	1.9955474502714912E-26	LIN54, MDC1, SUV39H2, ERCC6L, MCM7, MCM8, BRCA1, KIF11, CHTF18, MKI67, SMC4, SMC2, MTBP, CHAF1B, CHAF1A, MIS18BP1, CNTRL, NUF2, OIP5, LRRCC1, HELLS, TIPIN, BORA, PIMREG, CDC25C, CDC25A, CDC25B, RBL1, MCM3, MCM4, MCM5, MCM6, KIF20B, MCM2, RHNO1, CDCA2, CDCA3, CDCA5, CDCA8, KLHL13, LIN9, AURKB, AURKA, CDC45, RBBP4, FANCI, CASP8AP2, CENPV, CDKN2C, DDIAS, NASP, SASS6, SPC24, CDKN3	481	351	19256	6.158963697425236	3.27868446079606E-23	6.5573689215921205E-24	6.106375197830763E-24
GOTERM_BP_DIRECT	GO:0000278~mitotic cell cycle	33	6.432748538011696	2.5916749060633505E-22	CDCA5, MIS12, CDCA8, YEATS4, KIF11, SKA3, SMC3, SKA1, AURKB, AURKA, SKA2, KIF15, PBK, NEK2, MYBL2, MYBL1, CDT1, WDHD1, CENPW, KIF22, MASTL, HASPIN, NDC80, CDC25B, CIT, CENPE, TPX2, CENPF, WEE1, KIF18B, INCENP, BIRC5, TUBGCP3	481	137	19256	9.643049000713235	4.258121870662085E-19	7.096869784436808E-20	6.608771010461544E-20
GOTERM_BP_DIRECT	GO:0000070~mitotic sister chromatid segregation	18	3.508771929824561	1.6440499302618572E-19	SPAG5, NCAPG2, MIS12, CDCA8, KNL1, SMC4, KNSTRN, NDC80, ZWINT, KIF18A, DSN1, KIF18B, ESPL1, KIFC1, CENPK, NUSAP1, KNTC1, MAD2L1	481	32	19256	22.51871101871102	2.7011740354202315E-16	3.858820050600331E-17	3.5934234190009167E-17
GOTERM_BP_DIRECT	GO:0007094~mitotic spindle assembly checkpoint	17	3.313840155945419	1.7943273858612346E-18	ZWILCH, BUB1B, TTK, HASPIN, NDC80, ZWINT, CDC20, CENPF, NUF2, BIRC5, KNTC1, TRIP13, SPDL1, BUB1, SPC24, MAD2L1, SPC25	481	30	19256	22.685516285516286	2.9480798949700083E-15	3.6850998687125104E-16	3.431651125459611E-16
GOTERM_BP_DIRECT	GO:0007052~mitotic spindle organization	20	3.898635477582846	4.186406134233776E-17	GPSM2, STIL, CDCA8, TTK, KIF11, NDC80, AURKB, AURKA, CENPE, CCNB1, CENPH, INCENP, KIF4A, NUF2, STMN1, TACC3, BIRC5, RCC1, DLGAP5, SPC25	481	56	19256	14.2975942975943	6.878265278546094E-14	7.642516976162327E-15	7.116890428197418E-15
GOTERM_BP_DIRECT	GO:0006270~DNA replication initiation	15	2.923976608187134	4.3273783710098637E-16	MCM7, PRIM1, MCM10, CDC6, POLA1, ORC6, CDC45, ORC1, CCNE2, MCM3, MCM4, MCM5, TOPBP1, MCM6, MCM2	481	27	19256	22.240702240702245	7.296385717836529E-13	7.109882663569207E-14	6.620888907645092E-14
