Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005576~extracellular region	60	23.52941176470588	5.073329934015419E-10	CRISP2, PSCA, CRISP3, MTRNR2L6, CSN3, NPPB, FGF9, BPIFA2, FDCSP, EPPIN, KIRREL3, SERPINB3, SFTPB, FAM24B, SPINK6, ADIPOQ, VSTM2L, KERA, TMPRSS11E, OLFM4, VWA5B1, PSG9, GREM2, PSG8, ADCYAP1, ADGRF1, PSG5, CEACAM7, PSG4, SPACA3, MATN4, PNLIP, S100A7, CRP, NXPH2, LUZP2, FGL1, DEFB125, KLK4, THBS4, IL22RA2, VTN, TTR, PTPRZ1, LCN15, SPOCK3, PI3, CGA, CNMD, LGI1, DEFA4, IGF2, DEFA3, PRSS38, GCG, KISS1, PIP, LCN1, SP8, ALPG	242	2172	20521	2.342472946440802	1.0349591716973805E-7	1.0349593065391454E-7	1.0095926568690683E-7
GOTERM_BP_DIRECT	GO:0015670~carbon dioxide transport	7	2.7450980392156863	5.939138607667213E-9	HBG2, HBG1, AQP6, RHAG, HBD, AQP5	222	14	19256	43.369369369369366	6.123233193822131E-6	6.117312765897229E-6	6.087617072858893E-6
GOTERM_CC_DIRECT	GO:0005833~hemoglobin complex	6	2.3529411764705883	3.9356931883453245E-7	HBM, HBG2, HBG1, AHSP, HBD	242	14	20521	36.3417945690673	8.02849338272793E-5	4.014407052112231E-5	3.916014722403598E-5
GOTERM_MF_DIRECT	GO:0043177~organic acid binding	5	1.9607843137254901	5.549143268958623E-6	HBM, HBG2, HBG1, HBD	221	11	18883	38.83792677910325	0.0019070897699202671	0.001914454427790725	0.0018700612816390562
GOTERM_CC_DIRECT	GO:0031838~haptoglobin-hemoglobin complex	5	1.9607843137254901	1.2206886840258344E-5	HBM, HBG2, HBG1, HBD	242	13	20521	32.61443102352193	0.002487122088368321	8.300683051375673E-4	8.097234937371367E-4
GOTERM_BP_DIRECT	GO:0015671~oxygen transport	5	1.9607843137254901	2.7576520621610067E-5	HBM, HBG2, HBG1, HBD	222	16	19256	27.105855855855854	0.028031405070999216	0.014201908120129185	0.01413296681857516
GOTERM_MF_DIRECT	GO:0005344~oxygen transporter activity	5	1.9607843137254901	2.9233343057902028E-5	HBM, HBG2, HBG1, HBD	221	16	18883	26.70107466063348	0.010006020320677544	0.0034964988772895117	0.0034154206424538125
GOTERM_MF_DIRECT	GO:0031721~hemoglobin alpha binding	4	1.5686274509803921	3.0404338063387057E-5	HBG2, HBG1, HBD	221	6	18883	56.962292609351444	0.010404743531374772	0.0034964988772895117	0.0034154206424538125
GOTERM_MF_DIRECT	GO:0019825~oxygen binding	6	2.3529411764705883	6.598608261067019E-5	HBM, HBG2, HBG1, CYP1A1, HBD	221	37	18883	13.855692796869267	0.02244425573453568	0.005691299625170304	0.005559327459948964
GOTERM_CC_DIRECT	GO:0005615~extracellular space	42	16.470588235294116	1.4035962586872718E-4	CRP, CRISP2, CRISP3, FGL1, WFIKKN2, CSN3, THBS4, IL22RA2, NPPB, VTN, TTR, FGF9, BPIFA2, LRRTM1, SPOCK3, ZPLD1, PI3, EPPIN, CGA, RBBP8NL, INSL4, SERPINB3, LGI1, DEFA4, ADIPOQ, IGF2, DEFA3, IGFL3, KERA, GCG, PRG4, OLFM4, KISS1, GREM2, FRMD7, SMOC1, PIP, LCN1, SP8, MARCOL, PNLIP, S100A7	242	1931	20521	1.8443790097196247	0.028229266617591398	0.007158340919305086	0.006982891386969177
GOTERM_MF_DIRECT	GO:0031720~haptoglobin binding	4	1.5686274509803921	1.7623156434038424E-4	HBM, HBG2, HBG1, HBD	221	10	18883	34.17737556561086	0.05882765066901885	0.012159977939486512	0.0118780074365419
GOTERM_BP_DIRECT	GO:0042744~hydrogen peroxide catabolic process	5	1.9607843137254901	2.7846448741652833E-4	HBM, HBG2, HBG1, HBD	222	28	19256	15.48906048906049	0.24959098449187167	0.09560614067967473	0.09514203320064718
GOTERM_MF_DIRECT	GO:1990837~sequence-specific double-stranded DNA binding	18	7.0588235294117645	3.113469689784404E-4	FOXE1, PDX1, FOXI1, RORB, ISL1, SCRT1, ISX, KLF17, POU3F4, NR5A1, DMRTA2, LIN28B, TLX3, TLX2, SP8, OTX1, HMX2, DRGX	221	559	18883	2.7513093031350424	0.101582174116294	0.017902450716260322	0.01748732142428907
GOTERM_BP_DIRECT	GO:0060078~regulation of postsynaptic membrane potential	5	1.9607843137254901	5.976590624263538E-4	CHRM1, GABRA3, GRIK1, ADRB1, GRM1	222	34	19256	12.755696873343933	0.4600996543149135	0.1330252702250618	0.13237951648610521
GOTERM_CC_DIRECT	GO:0016471~vacuolar proton-transporting V-type ATPase complex	4	1.5686274509803921	6.557026174005304E-4	ATP6V0A4, ATP6V1G3, ATP6V0D2, ATP6V1B1	242	15	20521	22.61267217630854	0.12524130483614193	0.026752666789941638	0.02609696417254111
GOTERM_BP_DIRECT	GO:0006873~cellular ion homeostasis	3	1.1764705882352942	7.749044867479328E-4	RHAG, SLC4A1, RHCG	222	4	19256	65.05405405405406	0.5503277215818065	0.1330252702250618	0.13237951648610521
GOTERM_BP_DIRECT	GO:0035378~carbon dioxide transmembrane transport	3	1.1764705882352942	7.749044867479328E-4	RHAG, RHCG, RHBG	222	4	19256	65.05405405405406	0.5503277215818065	0.1330252702250618	0.13237951648610521
GOTERM_MF_DIRECT	GO:0035379~carbon dioxide transmembrane transporter activity	3	1.1764705882352942	7.983448177766015E-4	RHAG, RHCG, RHBG	221	4	18883	64.08257918552036	0.2402305907801947	0.03934699459041822	0.038434600512959244
GOTERM_MF_DIRECT	GO:0030506~ankyrin binding	4	1.5686274509803921	0.001317012963104222	RHAG, SLC4A1, RHCG, RHBG	221	19	18883	17.988092402953082	0.36450500208883907	0.05679618403386957	0.05547917107076535
GOTERM_BP_DIRECT	GO:0002682~regulation of immune system process	5	1.9607843137254901	0.0013427823544065304	PSG9, PSG8, CEACAM7, PSG4, PIP	222	42	19256	10.326040326040326	0.7497610255792069	0.19758083214838948	0.19662170189524195
GOTERM_MF_DIRECT	GO:0005179~hormone activity	7	2.7450980392156863	0.0018293680662737968	NPPB, TTR, ADIPOQ, IGF2, GCG, CGA, INSL4	221	110	18883	5.437309749074455	0.467343714638063	0.07012577587382889	0.06849967092602995
GOTERM_BP_DIRECT	GO:0097272~ammonia homeostasis	3	1.1764705882352942	0.0019080596109618323	RHAG, RHCG, RHBG	222	6	19256	43.36936936936937	0.8604159885139055	0.2183668221434097	0.21730678902620867
GOTERM_BP_DIRECT	GO:0046541~saliva secretion	3	1.1764705882352942	0.0019080596109618323	SLC4A9, CHRM1, AQP5	222	6	19256	43.36936936936937	0.8604159885139055	0.2183668221434097	0.21730678902620867
GOTERM_MF_DIRECT	GO:0046961~proton-transporting ATPase activity, rotational mechanism	4	1.5686274509803921	0.0029693695732483055	ATP6V0A4, ATP6V1G3, ATP6V0D2, ATP6V1B1	221	25	18883	13.670950226244345	0.6404790013459485	0.10244325027706654	0.10006775461846791
GOTERM_CC_DIRECT	GO:0098552~side of membrane	7	2.7450980392156863	0.003343779954113771	LY6L, PSCA, CEACAM7, ALPP, OMG, ALPG, CD177	242	123	20521	4.825875159578042	0.49503901366367176	0.1118469458269325	0.10910559911548807
GOTERM_BP_DIRECT	GO:0007601~visual perception	9	3.5294117647058822	0.003469870559689213	GJD2, ZIC2, RDH8, CABP2, KERA, RORB, CRYAA, TYR, RLBP1	222	215	19256	3.6309239472030175	0.9722260726324341	0.3546709533403541	0.35294924968336205
GOTERM_CC_DIRECT	GO:0016323~basolateral plasma membrane	10	3.9215686274509802	0.003837885396022194	SLC4A9, AQP10, CLDN8, BSND, SLC26A7, SLC4A1, ATP6V0A4, RHCG, RHBG, ATP6V1B1	242	261	20521	3.2489471517684687	0.5436224589217891	0.1118469458269325	0.10910559911548807
GOTERM_BP_DIRECT	GO:0042472~inner ear morphogenesis	5	1.9607843137254901	0.0038892480355115847	FGF9, FOXI1, OTX1, HMX2, ATP6V1B1	222	56	19256	7.744530244530245	0.982004482567212	0.3546709533403541	0.35294924968336205
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	17	6.666666666666667	0.004374735498401637	HEMGN, PLK5, FOXE1, FOXI2, ABCB5, FOXI1, DAZ1, CPLX2, SOHLH1, FGF9, ZIC2, SMOC1, ROS1, CNMD, TBATA, HMX2, KRT6A	222	665	19256	2.2173812910655015	0.9891136652207949	0.3546709533403541	0.35294924968336205
GOTERM_BP_DIRECT	GO:0072488~ammonium transmembrane transport	3	1.1764705882352942	0.004476429508179227	RHAG, RHCG, RHBG	222	9	19256	28.912912912912915	0.9902018291628693	0.3546709533403541	0.35294924968336205
GOTERM_MF_DIRECT	GO:0004601~peroxidase activity	4	1.5686274509803921	0.005022416242921173	HBM, HBG2, HBG1, HBD	221	30	18883	11.392458521870287	0.823081200551767	0.15752123670980042	0.1538685703513123
GOTERM_BP_DIRECT	GO:0015701~bicarbonate transport	4	1.5686274509803921	0.0074475568969268454	SLC4A9, SLC26A7, RHAG, SLC4A1	222	35	19256	9.912998712998712	0.9995504064920692	0.5479274002739036	0.5452675585250011
GOTERM_MF_DIRECT	GO:0008519~ammonium transmembrane transporter activity	3	1.1764705882352942	0.008258002271780593	RHAG, RHCG, RHBG	221	12	18883	21.36085972850679	0.9423028344289055	0.23741756531369204	0.2319122304658383
GOTERM_CC_DIRECT	GO:0016324~apical plasma membrane	12	4.705882352941177	0.008285641248989135	KISS1, CEACAM7, AQP10, TRPV5, AQP6, SLC26A7, SLC7A13, ATP6V0A4, AQP5, RHCG, ATP6V0D2, ATP6V1B1	242	402	20521	2.531269273467374	0.8168248033972082	0.19586940549462276	0.19106868477171532
GOTERM_BP_DIRECT	GO:1902476~chloride transmembrane transport	6	2.3529411764705883	0.008476236800511468	SLC4A9, GABRA3, BSND, CLCNKB, SLC26A7, SLC4A1	222	109	19256	4.774609471857178	0.9998456438074009	0.5820349269684542	0.579209514701617
