Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0051301~cell division	105	20.5078125	8.567987443102656E-79	ERCC6L, ZWILCH, CCNF, BUB1B, SMC5, SMC3, SMC4, SMC2, CDC20, PTTG1, RCC1, KNTC1, OIP5, NEK2, FBXO5, TIPIN, BORA, LIG1, VRK1, KNL1, PIMREG, CDC25C, KNSTRN, CDC25A, CDC25B, SGO1, SGO2, CCNE2, TIMELESS, KIF20B, CDCA2, CDCA3, CDCA5, CDCA8, NCAPG, PDS5B, KLHL13, SKA3, NCAPH, SKA1, SKA2, CCNB2, DSN1, CCNB1, MCMBP, FAM83D, SAC3D1, CDT1, UBE2C, CDC7, CDC6, ZWINT, NDC80, TPX2, STAG1, KIF18B, CDK4, CDK1, GPSM2, USP37, CDCA7L, NCAPG2, KIF14, KIF11, MIS18BP1, CNTRL, NUF2, SPDL1, LRRCC1, HELLS, HAUS4, MASTL, HAUS1, CCNA2, PSRC1, KIFC1, CKS2, BIRC5, MCM5, KIF2C, ITGB3BP, MIS12, AURKB, AURKA, HAUS8, HAUS7, BUB1, CENPV, CENPW, CENPX, SPAG5, CENPE, CENPF, WEE1, MIS18A, PRC1, CENPJ, TACC3, NCAPD2, NCAPD3, SPC24, SPC25, CENPS, NUP37, MAD2L1	480	386	19256	10.912564766839377	1.4077203369017664E-75	1.406863538157456E-75	1.3100452800503962E-75
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	273	53.3203125	5.55783949028938E-72	MDC1, SMC5, MKI67, SMC3, SMC4, SMC2, CDC20, SNRPD1, MAGOH, CHEK1, PCLAF, RCC1, FBXO5, HOXA7, GTSE1, WDHD1, TIPIN, METTL1, DDX11, KNL1, ESCO2, PIMREG, HASPIN, NEIL3, EID3, DDX39A, DNA2, KIF20A, KIF20B, RHNO1, ASF1B, SLBP, PIF1, CDCA2, PARPBP, PAXIP1, CDCA5, CDCA7, CDCA8, NCAPH, BRIP1, DSN1, RACGAP1, NUP85, MCMBP, LYAR, NR2C2AP, BARD1, TOE1, CDT1, PRPF38A, SIVA1, CDC7, CDC6, MAGOHB, ZWINT, THAP11, PM20D2, ANLN, POLA1, TPX2, STAG1, HNRNPD, PSMG1, HNRNPC, ANP32B, EZH2, TOP2A, LIN54, SUV39H2, FEN1, NCAPG2, MCUB, BRCA1, BRCA2, CHAF1B, MIS18BP1, NUF2, ZNF367, TEAD4, PRMT6, RMI2, PARP1, RMI1, PARP2, KIF23, CACYBP, DDB2, RAD51C, INCENP, HNRNPH3, PCNA, PRIM1, METTL21A, CENPA, UNG, PSMC3IP, EXOSC9, EXOSC8, NSD2, USP1, RAD54L, EXOSC2, GINS1, SF3A3, CENPU, GINS2, NQO2, SLF1, CENPV, CENPW, CENPX, NFYB, GINS3, GINS4, ATAD2, RPA2, MLH1, NUDT21, CENPF, MIS18A, PHF5A, CENPH, RPA3, CENPK, CENPL, CENPM, CENPN, NCAPD2, NCAPD3, CENPO, CENPQ, EEF1AKMT2, SPC24, CENPS, MAD2L1, DCLRE1B, DSCC1, GEMIN2, RPP30, GMNN, HJURP, GPR63, NUCKS1, YEATS4, DOCK10, FBL, OIP5, NEK2, GEN1, LIG1, VRK1, CDC25C, CDC25A, TRAIP, SAP30, THOC6, CDC25B, SGO1, MSH6, SGO2, MSH2, CCNE2, FANCD2, DKC1, HAT1, TIMELESS, SRSF3, FKBP5, BLM, DNMT1, RNASEH2A, PDS5B, RAD51AP1, CCNB1, ORC6, HNRNPDL, MED30, ORC1, UTP20, CLSPN, ECT2, FANCI, STIL, UBE2C, ALYREF, FANCB, LSM5, FANCE, FANCG, NDC80, LSM2, LSM6, KIF18B, NASP, CDK4, KIF4A, UBE2T, CDK1, PHF19, USP37, NXT1, MCM7, DDX46, MCM8, CDCA7L, WDR4, HMGB2, CGAS, PSIP1, MCM10, HMGB1, CTDSPL2, FOXM1, CHTF18, LMNB1, PAGR1, EXO1, NUP62, DNMT3B, MYBL2, TOPBP1, MYBL1, EID2B, RFC5, RFC3, RFC4, RFC2, MASTL, DCK, SENP1, CCNA2, DBF4, PSRC1, RBL1, SAPCD2, MCM3, MCM4, BIRC5, MCM5, DNAJC9, MCM6, DTL, ITGB3BP, MCM2, LIN9, AURKB, AURKA, POLD3, CDC45, RBBP4, TRA2B, TAF1A, RBBP7, BUB1, E2F7, E2F8, POLQ, DUT, CEP152, SSRP1, DEK, TICRR, SNRNP40, WEE1, RAD51, PRC1, POLE2, BUD13, TAF5, RBMX, PTPN2, NUP37	493	3972	20521	2.8609153527021807	2.2898298699992247E-69	2.2898298699992247E-69	1.8674340687372317E-69
GOTERM_CC_DIRECT	GO:0005634~nucleus	310	60.546875	1.0502751137869691E-54	MDC1, LRR1, CCNF, NUDT1, SMC5, MKI67, SMC3, SMC4, SMC2, SNRPD1, MAGOH, CHEK1, PCLAF, RCC1, FBXO5, HOXA7, TMPO, WDHD1, TIPIN, ZFP1, METTL1, DDX11, KNL1, ESCO2, HASPIN, ISL1, KNSTRN, WDR76, NEIL3, EID3, DDX39A, TFAM, DNA2, KIF20A, KIF20B, RHNO1, ASF1B, SLBP, ZBTB8A, CDCA2, PARPBP, PAXIP1, CDCA5, CDCA7, NCAPG, CDCA8, PGBD1, BRIP1, DSN1, RACGAP1, FIGNL1, MCMBP, LYAR, BARD1, CDT1, PRPF38A, SIVA1, DDIAS, CDC7, PA2G4, CDC6, MAGOHB, FAM111B, POLA1, TPX2, STAG1, HNRNPD, ANP32E, PPT1, PSMG1, HNRNPC, ANP32B, EZH2, CEP57, TOP2A, LIN54, SUV39H2, FEN1, HIP1, NCAPG2, KIF14, BRCA1, KIF11, BRCA2, CHAF1B, CHAF1A, PBK, TK1, ZNF367, DLGAP5, TCF19, TEAD4, PRMT6, HELLS, ZSCAN5A, RMI2, PARP1, RMI1, PARP2, KIF23, CACYBP, KIF22, DDB2, RAD51C, INCENP, KIFC1, G2E3, DEPDC1, KIF2C, HNRNPH3, DTYMK, PCNA, MIS12, TYMS, CENPA, RAD54B, UNG, PSMC3IP, SERTAD4, RNF138, EXOSC9, EXOSC8, NSD2, USP1, RAD54L, EXOSC2, GINS1, SF3A3, NQO1, RANBP1, CENPU, GINS2, SLF1, CENPV, CDKN2C, CENPW, CENPX, ATAD5, NFYB, GINS3, GINS4, ATAD2, RPA2, MLH1, CENPE, NUDT21, CENPF, MIS18A, PHF5A, CENPH, CENPK, CENPL, CENPM, HYLS1, CENPN, AUNIP, NCAPD2, TRIP13, NCAPD3, CENPO, CENPQ, EEF1AKMT2, SPC24, CDKN3, SPC25, CENPS, MAD2L1, GEMIN2, RPP30, GMNN, HJURP, BUB1B, NUCKS1, YEATS4, TTF2, DOCK10, FBL, PTTG1, NUSAP1, KNTC1, OIP5, NEK2, TMEM38B, BORA, LIG1, ZGRF1, FST, VRK1, CDC25C, CDC25A, TRAIP, SAP30, THOC6, CDC25B, MSH6, MSH2, CCNE2, FANCD2, DKC1, HAT1, TIMELESS, FKBP5, BLM, DNMT1, KLHL15, ARHGAP19, PDS5B, BCL2L12, RAD51AP1, CCNB2, CCNB1, ORC6, HNRNPDL, MED30, ORC1, CLSPN, ECT2, SAC3D1, UBE2C, ALYREF, LSM5, FANCE, NDC80, LSM2, KIF18A, LSM6, KIF18B, NASP, CDK4, UBE2T, CDK1, BLMH, PTTG3P, PHF19, MDM1, ARHGAP11A, USP37, NXT1, MCM7, DDX46, MCM8, CDCA7L, WDR4, HMGB2, CGAS, PSIP1, MCM10, HMGB1, FOXM1, CHTF18, LMNB1, PAGR1, EXO1, DNMT3B, MYBL2, SPDL1, TOPBP1, LBR, MYBL1, EID2B, RFC5, RFC3, RFC4, RFC2, MASTL, SENP1, REXO5, CCNA2, ASPM, DBF4, ESPL1, MCM3, MCM4, BIRC5, MCM5, DNAJC9, MNS1, MCM6, ZNF511, DTL, SSX2IP, ITGB3BP, MCM2, TTK, LIN9, AURKB, AURKA, CDC45, RBBP4, TRA2B, TNNI2, RBBP7, BUB1, E2F7, DUT, RRM2, DONSON, MND1, SSRP1, DEK, TICRR, SNRNP40, WEE1, RAD51, PRC1, BUD13, TAF5, RBMX, PTPN2, NUP37	493	6021	20521	2.143111011392513	4.327133468802313E-52	2.1635667344011564E-52	1.764462191162108E-52
GOTERM_BP_DIRECT	GO:0006260~DNA replication	47	9.1796875	1.9413497151837625E-42	PIF1, BLM, FEN1, RNASEH2A, PCNA, MCM7, DSCC1, CHTF18, POLD3, CHAF1B, ORC6, CHAF1A, ORC1, RBBP4, CHEK1, PCLAF, RBBP7, RFC5, GINS1, GINS2, RFC3, RRM1, RMI2, DUT, RFC4, RRM2, LIG1, RMI1, RFC2, GINS3, DONSON, RPA2, SSRP1, TICRR, FAM111B, POLA1, DBF4, NASP, RPA3, POLE2, CDK1, MCM4, MCM5, MCM6, DNA2, DTL, MCM2	480	121	19256	15.582506887052341	3.1896375820469216E-39	1.593848116165869E-39	1.4841618572579864E-39
GOTERM_BP_DIRECT	GO:0007059~chromosome segregation	43	8.3984375	6.061873714854425E-42	TOP2A, CDCA2, MIS12, HJURP, SMC5, TTK, BRCA1, SKA3, SKA1, SKA2, DSN1, NUF2, RCC1, OIP5, NEK2, BUB1, DLGAP5, CENPU, CENPW, CENPX, SPAG5, ESCO2, KNSTRN, NDC80, SGO1, SGO2, CENPE, STAG1, CENPF, MIS18A, CENPH, INCENP, CENPK, CENPL, CENPM, CENPN, CENPO, CENPQ, SPC24, ITGB3BP, CENPS, NUP37, SPC25	480	96	19256	17.968923611111112	9.95965851350582E-39	3.3178655465969886E-39	3.0895349700041385E-39
GOTERM_BP_DIRECT	GO:0006281~DNA repair	63	12.3046875	6.615364277297348E-39	MDC1, FEN1, NUDT1, CGAS, TTF2, BRCA1, FOXM1, BRCA2, SMC3, PAGR1, CHAF1B, CHAF1A, PTTG1, EXO1, CHEK1, TOPBP1, RFC5, WDHD1, RMI2, RFC3, RFC4, LIG1, PARP1, PARP2, RFC2, DDX11, KIF22, DDB2, MSH6, RAD51C, EID3, MSH2, FANCD2, TIMELESS, DNA2, PIF1, BLM, PAXIP1, PARPBP, PCNA, PDS5B, UNG, RAD51AP1, BRIP1, USP1, RAD54L, CLSPN, FANCI, BARD1, POLQ, RRM1, CENPX, RPA2, SSRP1, FANCG, TICRR, POLA1, RAD51, UBE2T, POLE2, RPA3, CDK1, CENPS	480	302	19256	8.368708609271524	1.0869043507599543E-35	2.7156070358305615E-36	2.5287229949969113E-36
GOTERM_MF_DIRECT	GO:0005515~protein binding	433	84.5703125	6.0579559339460355E-33	MDC1, NUP107, STMN3, SMC5, TMEM97, SMC3, SMC4, SMC2, KRTCAP3, DPYSL2, STMN1, HOXA7, GTSE1, WLS, WDHD1, DDX11, KNSTRN, ISL1, WDR76, EID3, DDX39A, MTHFD1, ASF1B, RHNO1, SLBP, ZBTB8A, PARPBP, CDCA3, CDCA5, CDCA7, NCAPG, CDCA8, HACD3, SKA3, NCAPH, SKA1, SKA2, MRPL11, NUP85, FIGNL1, MCMBP, NR2C2AP, TOE1, PLK4, BARD1, PRPF38A, SIVA1, CDC7, PA2G4, CDC6, MAGOHB, THAP11, FAM111B, HNRNPD, PSMG3, PPT1, SASS6, PSMG1, SFXN1, HNRNPC, EZH2, CEP57, LIN54, DIS3L, NCAPG2, CHAF1B, CHAF1A, NUF2, FLVCR1, PBK, TK1, DLGAP5, CEP55, TCF19, TEAD4, HELLS, ZSCAN5A, RMI2, RMI1, DDB2, CIT, INCENP, CKS2, TMEM106C, NUP62CL, TIMM10, METTL21A, CENPA, UNG, NEURL1B, RNF138, EPCAM, NSD2, USP1, SF3A3, CENPU, SLF1, CENPV, CDKN2C, CENPW, ATAD5, CENPX, ATAD2, CENPE, NUDT21, CENPF, PHF5A, CENPH, CENPJ, CENPK, CENPL, HYLS1, NCAPD2, CENPO, NCAPD3, CENPQ, CDKN3, CENPS, GMNN, HJURP, YEATS4, MFSD13A, OIP5, NEK2, FST, VRK1, CDC25C, CDC25A, TRAIP, SAP30, CDC25B, MSH6, MELK, MSH2, HAT1, C18ORF54, MRTO4, LY6D, SRSF3, FKBP5, BLM, DNMT1, TROAP, HMMR, ACAT2, RAD51AP1, ORC6, MED30, BAG2, HNRNPDL, ORC1, BRIX1, SAC3D1, FANCI, FANCB, LSM5, FANCG, NDC80, LSM2, LSM6, CDK4, CDK1, TUBGCP3, MDM1, NXT1, MCM7, MCM8, CDCA7L, WDR4, MCM10, FOXM1, PAGR1, EXO1, DNMT3B, SPDL1, LBR, EID2B, RFC5, RFC3, RFC4, RFC2, GPX8, HAUS4, HAUS1, DBF4, ESPL1, SAPCD2, MCM3, MCM4, BIRC5, MCM5, TRIM59, DNAJC9, MCM6, MTFR2, ZNF511, DTL, SSX2IP, MCM2, PRPS2, MTFP1, TTK, LRP8, CDC45, HAUS8, ASTE1, RBBP4, HAUS7, TIFA, TNNI2, RBBP7, MEST, CTNNAL1, E2F7, E2F8, DUT, SPAG5, CEP152, DONSON, MND1, SNRNP40, RAD51, PRC1, PTPN2, LRR1, CCNF, NUDT1, CCP110, MKI67, TXNDC16, CDC20, SNRPD1, MAGOH, CHEK1, PCLAF, RCC1, FBXO5, SEPHS1, ARL6IP6, TMPO, TIPIN, ZFP1, METTL1, KNL1, ESCO2, PIMREG, HASPIN, TFAM, DNA2, KIF20A, KIF20B, PAXIP1, PGBD1, BRIP1, DSN1, RACGAP1, LYAR, RPL39L, CDT1, ZWINT, PM20D2, POLA1, TPX2, STAG1, NMU, ANP32E, ANP32B, TOP2A, SUV39H2, FEN1, HIP1, PAK1IP1, KIF14, PCSK9, BRCA1, KIF11, BRCA2, KIF15, MIS18BP1, CNTRL, TNFAIP8L1, PRMT6, PARP1, PARP2, KIF23, CACYBP, KIF22, RAD51C, G2E3, DEPDC1, KIF2C, HNRNPH3, PCNA, ATP23, SLC43A3, PRIM1, MIS12, RAD54B, PSMC3IP, SERTAD4, STAMBPL1, EXOSC9, EXOSC8, RAD54L, EXOSC2, GINS1, GINS2, NQO1, RANBP1, NQO2, NFYB, GINS3, GINS4, RPA2, MLH1, MPHOSPH9, CMSS1, MIS18A, RPA3, TACC3, AUNIP, TRIP13, RTN4IP1, SPC24, SPC25, MAD2L1, DCLRE1B, ERCC6L, ZWILCH, DSCC1, GEMIN2, RPP30, BUB1B, TTF2, DOCK10, CHCHD4, FBL, PTTG1, TBC1D31, NUSAP1, KNTC1, TMEM38B, NOM1, SCARA3, GAS2L3, BORA, LIG1, ZGRF1, SHISA6, SGO1, SGO2, CCNE2, FANCD2, DKC1, TIMELESS, CHRNA5, KLHL15, ARHGAP19, KLHL13, PDS5B, NUP160, CCNB2, EBP, CCNB1, NPHP1, UTP20, CLSPN, FAM83D, ECT2, STIL, NUP155, UBE2C, ALYREF, KIF18A, KIF18B, NASP, UBE2T, KIF4A, BLMH, PHF19, GPSM2, USP37, DDX46, HMGB2, CGAS, PSIP1, SLC2A3, HMGB1, CTDSPL2, CHTF18, LMNB2, ELAVL2, DHTKD1, LMNB1, NUP62, MYBL2, TOPBP1, C4ORF46, CIP2A, SENP1, CCNA2, PSRC1, RBL1, NUP54, MNS1, SCN4B, PRTFDC1, ITGB3BP, AGPAT5, LIN9, AURKB, AURKA, POLD3, TRA2B, TAF1A, POC1A, PDSS1, BUB1, POLQ, RRM1, RRM2, SSRP1, DEK, SHCBP1, TICRR, WEE1, POLE2, CHPT1, BUD13, TAF5, RBMX, CKLF, NUP37	480	12707	18883	1.3405240877731435	3.3439916755382114E-30	3.3500496314721575E-30	3.1743689093877224E-30
GOTERM_CC_DIRECT	GO:0000776~kinetochore	42	8.203125	4.081248914082339E-31	ERCC6L, NUP107, ZWILCH, MIS12, HJURP, BUB1B, TTK, SKA3, SKA1, NUP160, AURKB, AURKA, SKA2, CDC20, MTBP, DSN1, NUP85, NUF2, NEK2, BUB1, CDT1, CENPV, CENPW, SPAG5, KNL1, KIF22, KNSTRN, NDC80, ZWINT, SGO1, SGO2, CENPE, KIF18A, CENPF, CENPH, INCENP, BIRC5, KIF2C, SPC24, NUP37, MAD2L1, SPC25	493	156	20521	11.206662505851147	1.6814745526019236E-28	5.604915175339745E-29	4.57099878377222E-29
GOTERM_CC_DIRECT	GO:0005813~centrosome	75	14.6484375	1.614119809487866E-29	DCLRE1B, CEP57, GPSM2, CCNF, DIS3L, CCP110, BUB1B, BRCA2, KIF15, CEP128, CDC20, TBC1D31, CNTRL, NUP62, CHEK1, PCLAF, NEK2, TOPBP1, SPDL1, CEP55, LRRCC1, GEN1, CKAP2L, DDX11, HAUS4, KIF23, HASPIN, MASTL, HAUS1, CDC25B, SGO1, CCNA2, ASPM, CCNE2, ESPL1, KIFC1, MCM3, KIF2C, KIF20B, DTL, PCNA, HMMR, SKA3, AURKA, CCNB2, CCNB1, CDC45, HAUS8, HAUS7, POC1A, ECT2, SAC3D1, CEP78, PLK4, RANBP1, SLF1, STIL, CEP152, CCDC15, SCLT1, FANCE, NDC80, NUDT21, KIF18A, CENPF, MPHOSPH9, RAD51, CENPJ, ALMS1, SASS6, CDK1, HYLS1, AUNIP, TUBGCP3, MDM1	493	651	20521	4.795477701647957	6.650173615090008E-27	1.662543403772502E-27	1.3558606399698076E-27
GOTERM_CC_DIRECT	GO:0005694~chromosome	47	9.1796875	5.932661396702528E-27	MDC1, BLM, USP37, PAXIP1, CDCA2, MCM7, MCM8, CDCA5, WDR4, HMGB2, PDS5B, HMGB1, BRCA1, MKI67, SMC3, SMC4, SMC2, RAD51AP1, EXOSC8, NUSAP1, RCC1, BRIX1, TOPBP1, GINS2, PARP1, GINS4, ESCO2, SSRP1, CIP2A, FANCE, MLH1, HASPIN, MSH6, CENPE, NEIL3, STAG1, RAD51, MSH2, CENPH, PRC1, KIF4A, MCM3, MCM4, NCAPD2, TRIP13, DTL, RHNO1	493	257	20521	7.612307716592608	2.4442564954414415E-24	4.888512990882884E-25	3.9867484585840993E-25
